,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
age,1.0,-0.10324029759435555,-0.07196627394150716,0.27112140631607556,0.21982253466576057,0.12124347870535487,-0.1326961679672904,-0.3902270750315936,0.08816338342423416,0.208136677428114,-0.16910511083470264,0.2715505294833465,0.07229744773281883,-0.22932355126761092
sex,-0.10324029759435555,1.0,-0.04111908876342356,-0.07897376914509624,-0.19825787170698492,0.027200460989107313,-0.05511721329926214,-0.04936524303254435,0.1391568092217166,0.08468655858668674,-0.026666292452793026,0.11172891299897984,0.19842425379861428,-0.2795007572922624
cp,-0.07196627394150716,-0.04111908876342356,1.0,0.03817742136221452,-0.08164102303738098,0.0792935856180095,0.0435806109482104,0.30683928218748036,-0.40151271399953703,-0.17473347696619906,0.13163277884568905,-0.17620646750862637,-0.16334147996022633,0.434854250052737
trestbps,0.27112140631607556,-0.07897376914509624,0.03817742136221452,1.0,0.12797742763764972,0.1817666235042397,-0.1237940898485045,-0.03926406900358624,0.0611969690951958,0.1874341067530995,-0.12044531316610672,0.10455371947153318,0.05927617580622803,-0.13877173373730078
chol,0.21982253466576057,-0.19825787170698492,-0.08164102303738098,0.12797742763764972,1.0,0.026917163783475338,-0.1474102406316102,-0.021772091421129704,0.0673822343356907,0.064880314991909,-0.014247867919343115,0.07425934349094815,0.10024417939490475,-0.09996559423254128
fbs,0.12124347870535487,0.027200460989107313,0.0792935856180095,0.1817666235042397,0.026917163783475338,1.0,-0.10405124404734181,-0.00886585723476282,0.04926056964555948,0.01085948055953624,-0.06190237442862651,0.13715625949608365,-0.042177320315125964,-0.041163547464651236
restecg,-0.1326961679672904,-0.05511721329926214,0.0435806109482104,-0.1237940898485045,-0.1474102406316102,-0.10405124404734181,1.0,0.048410637347469344,-0.06560552501299081,-0.05011424982378405,0.08608608551297883,-0.07807235470415402,-0.02050405521765776,0.13446820873908916
thalach,-0.3902270750315936,-0.04936524303254435,0.30683928218748036,-0.03926406900358624,-0.021772091421129704,-0.00886585723476282,0.048410637347469344,1.0,-0.38028087239195574,-0.3497961631423949,0.395307843482417,-0.2078884163068212,-0.09806816515786754,0.4228954964828723
exang,0.08816338342423416,0.1391568092217166,-0.40151271399953703,0.0611969690951958,0.0673822343356907,0.04926056964555948,-0.06560552501299081,-0.38028087239195574,1.0,0.3108437605071181,-0.26733547081445297,0.10784854280195343,0.19720103830526267,-0.438028550055846
oldpeak,0.208136677428114,0.08468655858668674,-0.17473347696619906,0.1874341067530995,0.064880314991909,0.01085948055953624,-0.05011424982378405,-0.3497961631423949,0.3108437605071181,1.0,-0.575188536437517,0.2218160279873609,0.2026720266321033,-0.4384412701119449
slope,-0.16910511083470264,-0.026666292452793026,0.13163277884568905,-0.12044531316610672,-0.014247867919343115,-0.06190237442862651,0.08608608551297883,0.395307843482417,-0.26733547081445297,-0.575188536437517,1.0,-0.07344040956153476,-0.09409006281152638,0.3455117514359986
ca,0.2715505294833465,0.11172891299897984,-0.17620646750862637,0.10455371947153318,0.07425934349094815,0.13715625949608365,-0.07807235470415402,-0.2078884163068212,0.10784854280195343,0.2218160279873609,-0.07344040956153476,1.0,0.14901386792642793,-0.3820852890386709
thal,0.07229744773281883,0.19842425379861428,-0.16334147996022633,0.05927617580622803,0.10024417939490475,-0.042177320315125964,-0.02050405521765776,-0.09806816515786754,0.19720103830526267,0.2026720266321033,-0.09409006281152638,0.14901386792642793,1.0,-0.3378381504571859
target,-0.22932355126761092,-0.2795007572922624,0.434854250052737,-0.13877173373730078,-0.09996559423254128,-0.041163547464651236,0.13446820873908916,0.4228954964828723,-0.438028550055846,-0.4384412701119449,0.3455117514359986,-0.3820852890386709,-0.3378381504571859,1.0
