t-SNE_1,t-SNE_2,target
5.2704787,-247.49751,0
56.710236,-213.69347,0
81.54154,107.66967,0
-33.251957,12.22182,1
-209.32928,-51.98274,1
-140.78506,-293.18628,0
-150.65979,189.37677,0
-95.59063,126.915276,1
-80.23591,123.8605,1
-139.2101,-242.2892,0
-224.36942,142.85156,1
-30.232937,-89.45144,1
-109.72071,-239.3937,0
151.58829,172.82172,0
250.43507,85.44128,0
-137.66812,146.5204,1
203.12798,-68.180954,0
-37.425434,43.536873,1
43.361713,221.14905,1
192.83734,-237.00763,0
182.61082,50.43732,0
-117.13783,124.48542,1
60.170948,-274.2529,0
-62.978184,252.43361,1
-102.1113,100.996284,1
-185.56711,-173.88898,1
-233.65901,-114.49654,1
181.53432,-88.135254,0
265.87015,-28.78413,0
20.759897,-102.69008,0
93.56722,-314.14734,0
-101.01485,-96.33689,1
301.13342,-167.07492,0
72.051544,109.589325,0
132.62627,18.91789,0
-14.101679,-296.7593,0
92.000244,56.18754,0
161.55627,-108.782005,0
-301.19778,123.634636,1
-222.66791,-14.53916,1
-291.6298,-27.818342,1
224.6461,-57.28617,0
-81.88488,266.09836,1
186.07135,27.180984,0
87.943214,94.3156,1
-98.53982,223.12727,1
-213.79364,-99.93603,1
-66.73901,-179.4373,0
43.585304,41.444317,1
174.11188,68.187775,0
-174.15483,-44.58645,1
-37.425434,43.536873,1
-224.36942,142.85156,1
101.52899,113.4911,1
-90.903076,297.779,1
59.903866,-45.63366,0
-98.53982,223.12727,1
-236.34976,-51.351383,1
-306.3409,-35.49851,1
146.64899,-175.56679,0
-142.40923,-207.37196,0
-97.094345,145.22787,1
-17.547894,272.5546,1
-208.28438,-147.50833,1
11.901087,-134.21664,0
38.23061,-178.90355,0
39.986515,171.89761,0
273.9397,-50.061275,0
173.26064,136.23434,0
-114.62439,270.36243,1
156.1441,-91.47537,0
181.8928,-204.40634,0
205.64989,-102.36704,0
25.55211,-46.391205,1
-137.66812,146.5204,1
279.32898,-195.5545,0
-82.45998,-223.94635,0
-109.72071,-239.3937,0
-28.976889,114.01461,1
-242.39943,-79.47295,1
137.34607,-139.96907,0
30.498667,9.5184555,1
69.33148,219.00307,0
-264.30072,9.404144,1
-118.78369,-181.42155,1
277.69278,-121.97783,0
93.56722,-314.14734,0
205.79889,-76.79626,0
-247.02011,10.077229,1
-283.83694,73.721535,1
-64.15446,262.58658,1
177.95778,244.77795,1
-7.4707556,144.86554,1
14.800212,88.54623,0
14.800212,88.54623,0
-58.34716,284.44214,0
38.23061,-178.90355,0
-74.41226,88.28051,1
158.6283,-25.131977,0
-318.64972,-6.6148043,1
92.000244,56.18754,0
-210.3369,-7.289252,1
97.61216,64.3614,0
-118.78369,-181.42155,1
-25.411043,-148.77032,1
-15.001132,81.708595,0
97.12603,-14.128741,1
-36.56275,-38.546967,1
-312.01074,85.63443,1
-247.82852,-25.078754,1
253.65067,76.03563,0
92.000244,56.18754,0
269.35898,-198.72807,0
-138.39983,-3.4621732,1
181.8928,-204.40634,0
194.00365,108.81553,0
5.2704787,-247.49751,0
-98.47995,180.21729,1
192.70543,-180.03464,0
-75.84659,17.393291,1
174.11188,68.187775,0
-36.56275,-38.546967,1
239.1628,-76.921616,0
56.36237,24.946102,0
-9.92182,-172.05891,0
-25.696814,-171.68507,1
-291.6298,-27.818342,1
-65.13143,-284.3631,0
46.517147,91.712685,0
16.175913,-22.277948,1
-24.864872,154.30626,1
-15.001132,81.708595,0
95.269554,260.01312,0
229.20837,-108.680214,0
177.95778,244.77795,1
27.513962,-206.78253,0
-221.82393,-192.43018,1
109.15509,47.059322,1
178.89,-218.08206,0
-267.29865,88.84207,1
225.51654,45.8664,0
140.6995,-38.730564,0
30.498667,9.5184555,1
142.87909,124.90451,0
-5.460879,200.66241,1
-278.45392,131.78416,1
30.14295,86.14321,1
72.865814,142.41673,0
260.32257,-126.37724,0
-179.2328,-9.816211,1
-31.09023,-185.97365,0
-144.82895,82.3935,0
-68.11136,183.5996,1
-139.2101,-242.2892,0
142.87909,124.90451,0
-5.460879,200.66241,1
83.56567,16.068792,0
-48.01965,-16.537071,1
-283.2976,83.51003,1
-70.51003,226.99371,1
205.64989,-102.36704,0
-138.39983,-3.4621732,1
-33.71389,-151.84398,1
56.710236,-213.69347,0
30.14295,86.14321,1
118.85097,-24.918705,0
147.7028,-97.81807,0
-92.85666,205.87971,1
-233.25581,117.37404,1
321.71857,-86.94274,0
167.99182,-67.94763,0
-233.65901,-114.49654,1
-156.54301,-250.87392,1
181.53432,-88.135254,0
164.99092,-158.0715,0
33.47238,-27.101822,1
-219.27248,51.402172,1
297.82617,-10.41484,0
92.51172,20.483095,0
94.96764,-140.1169,0
25.55211,-46.391205,1
146.64899,-175.56679,0
-194.81361,223.24612,1
57.353985,159.72942,0
-201.75006,-83.98902,1
177.95778,244.77795,1
-110.25464,-92.612015,1
-20.926832,-186.2357,0
68.949745,-110.12995,0
-208.28438,-147.50833,1
100.38223,224.27855,1
-75.84659,17.393291,1
60.170948,-274.2529,0
20.759897,-102.69008,0
-26.536814,-40.83804,1
149.21893,19.818731,0
-144.82895,82.3935,0
8.021383,-309.4136,0
173.26064,136.23434,0
-137.66812,146.5204,1
20.45522,243.62422,1
-102.50785,-276.5475,0
177.95778,244.77795,1
146.64899,-175.56679,0
181.91698,-24.59909,0
-117.13783,124.48542,1
225.51654,45.8664,0
243.17566,-185.84883,0
-128.15154,110.806046,1
-20.603281,-255.83841,1
229.20837,-108.680214,0
269.28177,55.398552,0
68.949745,-110.12995,0
-223.09825,71.971985,1
-279.7528,15.67197,1
187.70267,86.42858,0
-87.68889,307.65857,1
-37.350452,4.049476,1
-266.62296,-61.607265,1
-243.24858,131.59116,1
-19.830126,-107.92845,1
-146.53621,110.02202,0
11.901087,-134.21664,0
203.12798,-68.180954,0
87.943214,94.3156,1
-243.24858,131.59116,1
229.93787,-88.6345,0
-114.5553,294.4908,1
181.8928,-204.40634,0
-9.92182,-172.05891,0
13.763392,54.472454,0
32.792656,166.11668,0
288.38586,-139.97533,0
5.029309,4.2067842,1
16.175913,-22.277948,1
-36.56275,-38.546967,1
321.71857,-86.94274,0
128.57474,-265.5408,0
265.5556,-135.56847,0
78.399574,251.49187,1
-6.765497,110.713425,0
-205.09932,-96.8055,1
-23.400543,231.90643,1
107.53887,175.31657,0
-196.55609,63.087887,1
253.32086,-168.52592,0
-9.92182,-172.05891,0
-93.417244,257.06284,1
-68.921776,-137.00778,1
201.70624,170.84412,1
33.47238,-27.101822,1
-210.89838,-69.25936,0
104.811264,-84.381584,0
68.83582,-134.87473,0
194.00365,108.81553,0
-178.22989,-36.703846,1
254.13681,-81.51093,0
74.570564,279.51398,0
-255.75195,-189.71007,0
163.67967,232.71216,1
92.37037,-236.60365,0
56.710236,-213.69347,0
-122.26274,214.57104,1
46.483643,131.12552,1
56.36237,24.946102,0
-52.59753,-111.816475,1
-65.95229,-45.07075,1
-68.921776,-137.00778,1
181.53432,-88.135254,0
144.96783,-47.513885,0
80.85027,-84.54342,0
60.79159,-88.16976,1
68.83582,-134.87473,0
-235.03688,-168.04156,1
-23.604269,-18.670095,1
-67.7942,-26.270044,1
9.570043,231.07582,1
234.6051,-189.61334,0
200.69629,-5.301722,0
-165.78432,-180.8559,1
-310.92957,96.69072,1
-97.05627,-71.4643,0
73.43557,99.386246,0
194.00365,108.81553,0
-19.830126,-107.92845,1
-242.39943,-79.47295,1
-68.48058,-293.6233,0
-48.27338,72.038574,1
96.59632,-49.35797,0
276.64456,-174.48062,0
265.87015,-28.78413,0
43.585304,41.444317,1
-193.06668,-54.177956,1
174.11188,68.187775,0
110.724785,-117.488785,0
249.65784,-1.3997911,0
-112.3475,-191.21007,1
-142.40923,-207.37196,0
-112.89433,280.70987,1
178.91461,162.83257,1
-80.518005,245.80785,1
